trial,launch_speed,start_angle_deg,start_sector_index,winner_index,winner,color,pocket_offset,free_revolutions,settle_seconds,timed_out
221,11.869303,224.465113,23,20,24,black,34,2.911529,14.241667,0
222,12.423669,152.733226,15,10,6,black,32,2.778479,13.850000,0
223,12.385023,76.297634,7,3,19,red,33,2.790799,14.262500,0
224,12.350618,304.262504,31,27,9,red,33,2.798806,15.454167,0
225,11.561434,21.711234,2,3,19,red,1,3.010964,15.000000,0
226,11.515659,13.844405,1,35,3,red,34,2.884091,15.029167,0
227,11.664915,323.568811,33,31,7,red,35,2.930044,15.325000,0
228,12.225554,77.812918,7,4,4,black,34,2.806903,14.533333,0
229,11.914406,162.281421,16,20,24,black,4,3.058903,15.120833,0
230,12.448982,119.927909,12,12,13,black,0,2.958211,14.987500,0
231,12.263809,259.176071,26,21,16,red,32,2.745733,14.137500,0
232,11.886773,177.754568,18,20,24,black,2,3.016565,15.762500,0
233,11.973964,289.839883,29,32,28,black,3,3.052955,14.991667,0
234,12.120093,256.156364,26,28,22,black,2,3.039651,14.791667,0
235,11.681594,295.460742,30,27,9,red,34,2.882379,14.283333,0
236,12.391396,131.317881,13,12,13,black,36,2.928826,14.758333,0
237,11.977995,113.482266,11,9,34,red,35,2.895207,14.429167,0
238,12.024019,251.488011,25,29,18,red,4,3.068395,15.420833,0
239,11.569358,206.481866,21,22,33,black,1,2.988489,14.808333,0
240,12.252464,306.450986,31,26,31,black,32,2.774715,14.825000,0
241,11.737828,135.024570,13,9,34,red,33,2.862368,14.245833,0
242,12.358901,234.465542,24,24,20,black,0,2.960081,14.991667,0
243,11.707888,31.575588,3,31,7,red,28,2.671519,14.458333,0
244,11.619380,39.725965,4,2,15,black,35,2.913288,14.654167,0
245,12.322261,65.206556,6,8,17,black,2,3.009349,14.895833,0
246,12.222748,191.844469,19,17,23,red,35,2.783300,15.075000,0
247,12.270623,92.303612,9,4,4,black,32,2.770297,14.262500,0
248,12.193329,142.299281,14,9,34,red,32,2.742613,15.066667,0
249,11.787394,87.809990,9,7,25,red,35,2.908890,14.604167,0
250,11.688706,245.221651,25,28,22,black,3,3.055854,15.675000,0
251,11.563114,89.337709,9,6,2,black,34,2.882797,14.462500,0
252,11.537218,221.021261,22,20,24,black,35,2.887435,15.212500,0
253,11.608329,81.288603,8,6,2,black,35,2.930214,14.558333,0
254,11.692549,307.742793,31,34,35,black,3,3.053261,15.333333,0
255,12.146857,303.250537,31,34,35,black,3,3.060465,15.279167,0
256,11.904518,278.086000,28,29,18,red,1,2.981481,14.758333,0
257,12.269552,207.178953,21,25,14,red,4,3.071811,14.920833,0
258,11.798216,267.372825,27,29,18,red,2,3.028040,15.145833,0
259,11.534223,85.204448,8,5,21,red,34,2.866282,14.925000,0
260,12.074107,72.393406,7,1,32,red,31,2.747074,13.954167,0
261,11.770803,247.519345,25,23,1,red,35,2.915106,14.816667,0
262,11.990783,37.781160,3,36,26,black,33,2.761689,14.866667,0
263,12.236060,61.114521,6,9,34,red,3,3.041293,15.837500,0
264,12.266915,227.122692,23,17,23,red,31,2.741704,15.708333,0
265,11.802152,125.720832,12,7,25,red,32,2.734345,14.729167,0
266,11.709848,354.714914,36,34,35,black,35,2.908594,14.379167,0
267,11.937535,168.264884,17,10,6,black,30,2.717077,16.725000,0
268,12.112978,83.109805,8,2,15,black,31,2.740373,16.312500,0
269,12.265455,309.792658,31,29,18,red,35,2.814659,15.654167,0
270,11.559162,105.756780,10,10,6,black,0,2.948595,14.562500,0
271,12.119002,119.108856,12,7,25,red,32,2.753774,14.791667,0
272,11.861853,140.344824,14,7,25,red,30,2.718470,13.933333,0
273,11.896663,209.200912,21,14,11,black,30,2.711913,16.312500,0
274,12.354416,333.761929,34,4,4,black,7,3.163673,15.883333,0
275,12.398158,254.823492,26,22,33,black,33,2.778381,15.062500,0
276,12.164563,156.107545,16,12,13,black,33,2.867246,14.483333,0
277,12.092499,11.211162,1,2,15,black,1,2.989868,14.800000,0
278,12.179208,191.956993,19,21,16,red,2,3.000153,15.225000,0
279,11.802519,91.306666,9,2,15,black,30,2.710159,14.112500,0
280,11.987869,111.193719,11,8,17,black,34,2.736522,14.737500,0
281,11.621443,114.376946,11,10,6,black,36,2.916443,15.300000,0
282,12.180804,159.818440,16,18,10,black,2,3.005559,15.620833,0
283,12.040985,88.984870,9,8,17,black,36,2.962555,14.462500,0
284,11.952001,112.381511,11,5,21,red,31,2.750664,16.141667,0
285,12.448454,294.672779,30,27,9,red,34,2.809020,15.050000,0
286,11.878638,93.300102,9,12,13,black,3,3.037732,15.512500,0
287,12.463616,292.039453,30,28,22,black,35,2.924127,14.550000,0
